1995,124 min,5.6,"Action, Adventure, Comedy",tt0112760,N/A,Cutthroat Island,"21,401",movie,English,Renny Harlin,1 nomination.,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin","USA, France, Italy, Germany",PG-13,"Michael Frost Beckner (story), James Gorman (story), Bruce A. Evans (story), Raynold Gideon (story), Robert King (screenplay), Marc Norman (screenplay)",22-Dec-95,1,0,0
1995,178 min,8.2,"Biography, Crime, Drama",tt0112641,73,Casino,"341,806",movie,English,Martin Scorsese,Nominated for 1 Oscar. Another 3 wins & 9 nominations.,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods","USA, France",R,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)",22-Nov-95,6367,1693,2056437
1995,136 min,7.7,"Drama, Romance",tt0114388,84,Sense and Sensibility,"79,813",movie,"English, French",Ang Lee,Won 1 Oscar. Another 31 wins & 45 nominations.,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","USA, UK",PG,"Jane Austen (novel), Emma Thompson (screenplay)",26-Jan-96,0,0,0
1995,98 min,6.7,Comedy,tt0113101,N/A,Four Rooms,"79,415",movie,English,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",1 win & 1 nomination.,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",USA,R,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",25-Dec-95,4,1,180
1995,90 min,6.3,"Adventure, Comedy",tt0112281,45,Ace Ventura: When Nature Calls,"162,802",movie,English,Steve Oedekerk,7 wins & 7 nominations.,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",USA,PG-13,"Jack Bernstein (characters), Steve Oedekerk",10-Nov-95,0,0,0
1995,110 min,5.6,"Action, Comedy, Crime",tt0113845,N/A,Money Train,"32,670",movie,English,Joseph Ruben,1 nomination.,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",USA,R,"Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay)",22-Nov-95,934,0,0
1995,105 min,6.9,"Comedy, Crime, Thriller",tt0113161,82,Get Shorty,"63,654",movie,English,Barry Sonnenfeld,Won 1 Golden Globe. Another 5 wins & 15 nominations.,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito",USA,R,"Elmore Leonard (novel), Scott Frank (screenplay)",20-Oct-95,4,0,0
1995,123 min,6.6,"Crime, Drama, Mystery",tt0112722,54,Copycat,"42,828",movie,English,Jon Amiel,2 wins & 1 nomination.,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",USA,R,"Ann Biderman, David Madsen",27-Oct-95,12,547,79774
1995,132 min,6.3,"Action, Crime, Thriller",tt0112401,N/A,Assassins,"63,962",movie,"English, Dutch, Spanish",Richard Donner,1 win & 1 nomination.,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov","France, USA",R,"Lilly Wachowski (story), Lana Wachowski (story), Lilly Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)",6-Oct-95,171,1,423
1995,111 min,6.5,"Drama, Fantasy, Mystery",tt0114168,N/A,Powder,"24,491",movie,English,Victor Salva,1 win & 1 nomination.,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",USA,PG-13,Victor Salva,27-Oct-95,2,17864,278248
1995,111 min,7.6,"Drama, Romance",tt0113627,82,Leaving Las Vegas,"95,121",movie,"English, Russian",Mike Figgis,Won 1 Oscar. Another 30 wins & 27 nominations.,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",USA,R,"John O'Brien (novel), Mike Figgis (screenplay)",9-Feb-96,5,0,0
1995,123 min,7,"Drama, Romance",tt0114057,N/A,Othello,"7,587",movie,English,Oliver Parker,3 nominations.,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker","USA, UK",R,"Oliver Parker (adaptation), William Shakespeare (play)",19-Jan-96,744,0,19
