ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,-0.007430827053805045,5.521719070356096E-5
ITERATION 1,-0.00540652826026311,2.9230547829023654E-5
ITERATION 2,-0.00540652826026311,2.9230547829023654E-5
ITERATION 3,-0.00540652826026311,2.9230547829023654E-5
ITERATION 4,-0.00540652826026311,2.9230547829023654E-5
ITERATION 5,-0.0011463401519320945,1.3140957439316977E-6
ITERATION 6,-0.0011463401519320945,1.3140957439316977E-6
ITERATION 7,-0.0011463401519320945,1.3140957439316977E-6
ITERATION 8,-0.0011463401519320945,1.3140957439316977E-6
ITERATION 9,-0.0011463401519320945,1.3140957439316977E-6
ITERATION 10,-8.751677134176683E-4,7.6591852660871E-7
ITERATION 11,-8.751677134176683E-4,7.6591852660871E-7
ITERATION 12,-8.751677134176683E-4,7.6591852660871E-7
ITERATION 13,-8.751677134176683E-4,7.6591852660871E-7
ITERATION 14,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 15,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 16,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 17,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 18,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 19,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 20,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 21,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 22,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 23,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 24,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 25,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 26,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 27,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 28,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 29,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 30,-1.0807739258356444E-4,1.168072278766191E-8
ITERATION 31,5.442498471977444E-5,2.962078961747681E-9
ITERATION 32,5.442498471977444E-5,2.962078961747681E-9
ITERATION 33,5.442498471977444E-5,2.962078961747681E-9
ITERATION 34,5.442498471977444E-5,2.962078961747681E-9
ITERATION 35,3.3875728620610295E-5,1.1475649895772354E-9
ITERATION 36,3.3875728620610295E-5,1.1475649895772354E-9
ITERATION 37,3.3875728620610295E-5,1.1475649895772354E-9
ITERATION 38,3.3875728620610295E-5,1.1475649895772354E-9
ITERATION 39,1.90070837883141E-5,3.612692341359926E-10
ITERATION 40,1.90070837883141E-5,3.612692341359926E-10
ITERATION 41,1.90070837883141E-5,3.612692341359926E-10
ITERATION 42,1.90070837883141E-5,3.612692341359926E-10
ITERATION 43,1.90070837883141E-5,3.612692341359926E-10
ITERATION 44,1.90070837883141E-5,3.612692341359926E-10
ITERATION 45,1.90070837883141E-5,3.612692341359926E-10
