ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,-0.0773878771375438,0.005988883527855575
ITERATION 1,-0.0773878771375438,0.005988883527855575
ITERATION 2,-0.03338252372416801,0.0011143928901946399
ITERATION 3,0.007834385485011287,6.137759592775554E-5
ITERATION 4,0.007834385485011287,6.137759592775554E-5
ITERATION 5,0.007834385485011287,6.137759592775554E-5
ITERATION 6,-0.007603689784731582,5.781609834243141E-5
ITERATION 7,-0.007603689784731582,5.781609834243141E-5
ITERATION 8,0.0050570712576728585,2.5573969705180947E-5
ITERATION 9,-0.0023823018243822845,5.675361982455161E-6
ITERATION 10,-0.0023823018243822845,5.675361982455161E-6
ITERATION 11,-0.0023823018243822845,5.675361982455161E-6
ITERATION 12,-0.0023823018243822845,5.675361982455161E-6
ITERATION 13,-0.0023823018243822845,5.675361982455161E-6
ITERATION 14,0.002034539369924926,4.139350447774514E-6
ITERATION 15,0.002034539369924926,4.139350447774514E-6
ITERATION 16,3.075637446001084E-4,9.459545699244072E-8
ITERATION 17,3.075637446001084E-4,9.459545699244072E-8
ITERATION 18,3.075637446001084E-4,9.459545699244072E-8
ITERATION 19,3.075637446001084E-4,9.459545699244072E-8
ITERATION 20,3.075637446001084E-4,9.459545699244072E-8
ITERATION 21,3.075637446001084E-4,9.459545699244072E-8
ITERATION 22,3.075637446001084E-4,9.459545699244072E-8
ITERATION 23,3.075637446001084E-4,9.459545699244072E-8
ITERATION 24,7.949502517063528E-5,6.319459026879937E-9
ITERATION 25,7.949502517063528E-5,6.319459026879937E-9
ITERATION 26,7.949502517063528E-5,6.319459026879937E-9
ITERATION 27,7.949502517063528E-5,6.319459026879937E-9
ITERATION 28,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 29,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 30,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 31,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 32,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 33,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 34,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 35,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 36,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 37,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 38,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 39,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 40,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 41,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 42,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 43,-4.241605110043062E-5,1.7991213909543413E-9
ITERATION 44,-4.561039553201818E-6,2.080308180587144E-11
ITERATION 45,-4.561039553201818E-6,2.080308180587144E-11
ITERATION 46,-4.561039553201818E-6,2.080308180587144E-11
ITERATION 47,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 48,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 49,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 50,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 51,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 52,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 53,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 54,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 55,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 56,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 57,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 58,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 59,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 60,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 61,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 62,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 63,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 64,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 65,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 66,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 67,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 68,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 69,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 70,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 71,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 72,-3.4966048787480773E-7,1.2226245678084857E-13
ITERATION 73,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 74,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 75,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 76,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 77,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 78,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 79,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 80,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 81,1.7946113035276293E-7,3.220629730749137E-14
ITERATION 82,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 83,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 84,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 85,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 86,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 87,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 88,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 89,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 90,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 91,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 92,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 93,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 94,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 95,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 96,-6.220356835834093E-9,3.869283916510793E-17
ITERATION 97,-6.220356835834093E-9,3.869283916510793E-17
