ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,10.02933758618308,2.9035882492553774E-37
ITERATION 1,10.02933758618308,2.9035882492553774E-37
ITERATION 2,10.02933758618308,2.9035882492553774E-37
ITERATION 3,10.0,8.49618673299509E-38
ITERATION 4,10.0,2.3647201680146525E-38
ITERATION 5,10.0,3.8870096142416895E-39
ITERATION 6,10.0,3.2451379963111815E-39
ITERATION 7,10.0,3.2451379963111815E-39
ITERATION 8,10.0,3.2451379963111815E-39
ITERATION 9,10.0,3.2451379963111815E-39
ITERATION 10,10.0,3.2451379963111815E-39
ITERATION 11,10.0,3.2451379963111815E-39
ITERATION 12,10.0,3.2451379963111815E-39
ITERATION 13,10.0,3.2451379963111815E-39
ITERATION 14,10.0,3.2451379963111815E-39
ITERATION 15,10.0,3.2451379963111815E-39
ITERATION 16,10.0,3.2451379963111815E-39
ITERATION 17,10.0,3.2451379963111815E-39
ITERATION 18,10.0,3.2451379963111815E-39
ITERATION 19,10.0,3.2451379963111815E-39
ITERATION 20,10.0,3.2451379963111815E-39
ITERATION 21,10.0,3.2451379963111815E-39
ITERATION 22,10.0,3.2451379963111815E-39
ITERATION 23,10.0,3.2451379963111815E-39
ITERATION 24,10.0,3.2451379963111815E-39
ITERATION 25,10.0,3.2451379963111815E-39
ITERATION 26,10.0,3.2451379963111815E-39
ITERATION 27,10.0,3.2451379963111815E-39
ITERATION 28,10.0,3.2451379963111815E-39
ITERATION 29,10.0,3.2451379963111815E-39
ITERATION 30,10.0,3.2451379963111815E-39
ITERATION 31,10.0,3.2451379963111815E-39
ITERATION 32,10.0,3.2451379963111815E-39
ITERATION 33,10.0,3.2451379963111815E-39
ITERATION 34,10.0,3.2451379963111815E-39
ITERATION 35,10.0,3.2451379963111815E-39
ITERATION 36,10.0,3.2451379963111815E-39
ITERATION 37,10.0,3.2451379963111815E-39
ITERATION 38,10.0,3.2451379963111815E-39
ITERATION 39,10.0,3.2451379963111815E-39
ITERATION 40,10.0,3.2451379963111815E-39
ITERATION 41,10.0,3.2451379963111815E-39
ITERATION 42,10.0,3.2451379963111815E-39
ITERATION 43,10.0,3.2451379963111815E-39
ITERATION 44,10.0,3.2451379963111815E-39
ITERATION 45,10.0,3.2451379963111815E-39
ITERATION 46,10.0,3.2451379963111815E-39
ITERATION 47,10.0,3.2451379963111815E-39
ITERATION 48,10.0,3.2451379963111815E-39
ITERATION 49,10.0,3.2451379963111815E-39
ITERATION 50,10.0,3.2451379963111815E-39
ITERATION 51,10.0,3.2451379963111815E-39
ITERATION 52,10.0,3.2451379963111815E-39
ITERATION 53,10.0,3.2451379963111815E-39
ITERATION 54,10.0,3.2451379963111815E-39
ITERATION 55,10.0,3.2451379963111815E-39
ITERATION 56,10.0,3.2451379963111815E-39
ITERATION 57,10.0,3.2451379963111815E-39
ITERATION 58,10.0,3.2451379963111815E-39
ITERATION 59,10.0,3.2451379963111815E-39
ITERATION 60,10.0,3.2451379963111815E-39
ITERATION 61,10.0,3.2451379963111815E-39
ITERATION 62,10.0,3.2451379963111815E-39
ITERATION 63,10.0,3.2451379963111815E-39
ITERATION 64,10.0,3.2451379963111815E-39
ITERATION 65,10.0,3.2451379963111815E-39
ITERATION 66,10.0,3.2451379963111815E-39
ITERATION 67,10.0,3.2451379963111815E-39
ITERATION 68,10.0,3.2451379963111815E-39
ITERATION 69,10.0,3.243758476996603E-39
ITERATION 70,10.0,3.241391903741445E-39
ITERATION 71,10.0,3.239665764952558E-39
ITERATION 72,10.0,3.238406533573328E-39
ITERATION 73,10.0,3.237487800355177E-39
ITERATION 74,10.0,3.236817433160642E-39
ITERATION 75,10.0,3.2363282574537466E-39
ITERATION 76,10.0,3.2359712822714124E-39
ITERATION 77,10.0,3.235710771008189E-39
ITERATION 78,10.0,3.2355206517200733E-39
ITERATION 79,10.0,3.235381901390329E-39
ITERATION 80,10.0,3.235280639080128E-39
ITERATION 81,10.0,3.235206735412764E-39
ITERATION 82,10.0,3.235152798345903E-39
ITERATION 83,10.0,3.235113433280316E-39
ITERATION 84,10.0,3.2350847032341166E-39
ITERATION 85,10.0,3.235063734949423E-39
ITERATION 86,10.0,3.235048431462849E-39
ITERATION 87,10.0,3.235037262353996E-39
ITERATION 88,10.0,3.235029110673587E-39
ITERATION 89,10.0,3.2350231612332604E-39
ITERATION 90,10.0,3.2350188190780955E-39
ITERATION 91,10.0,3.235015649986796E-39
ITERATION 92,10.0,3.235013337047152E-39
ITERATION 93,10.0,3.235011648963556E-39
ITERATION 94,10.0,3.235010416926808E-39
ITERATION 95,10.0,3.23500951773273E-39
ITERATION 96,10.0,3.235008861461685E-39
ITERATION 97,10.0,3.235008382486458E-39
ITERATION 98,10.0,3.2350080329093334E-39
ITERATION 99,10.0,3.235007777772712E-39
