ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,0.03429236235914246,0.0011759661161707304
ITERATION 1,0.03429236235914246,0.0011759661161707304
ITERATION 2,0.03429236235914246,0.0011759661161707304
ITERATION 3,0.03429236235914246,0.0011759661161707304
ITERATION 4,0.03429236235914246,0.0011759661161707304
ITERATION 5,0.03429236235914246,0.0011759661161707304
ITERATION 6,0.03429236235914246,0.0011759661161707304
ITERATION 7,0.03429236235914246,0.0011759661161707304
ITERATION 8,0.03429236235914246,0.0011759661161707304
ITERATION 9,-0.019813480060036248,3.92573992089454E-4
ITERATION 10,-0.0029990795890558752,8.994478381491557E-6
ITERATION 11,-0.0029990795890558752,8.994478381491557E-6
ITERATION 12,-0.0029990795890558752,8.994478381491557E-6
ITERATION 13,-0.0021788356220190652,4.747324667779207E-6
ITERATION 14,-0.0021788356220190652,4.747324667779207E-6
ITERATION 15,-0.0021788356220190652,4.747324667779207E-6
ITERATION 16,-0.0021788356220190652,4.747324667779207E-6
ITERATION 17,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 18,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 19,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 20,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 21,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 22,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 23,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 24,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 25,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 26,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 27,-3.650877277149439E-4,1.3328904892806103E-7
ITERATION 28,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 29,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 30,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 31,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 32,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 33,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 34,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 35,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 36,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 37,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 38,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 39,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 40,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 41,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 42,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 43,3.20644433979278E-4,1.0281285304189157E-7
ITERATION 44,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 45,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 46,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 47,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 48,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 49,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 50,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 51,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 52,2.8028143655128325E-4,7.855768367525102E-8
ITERATION 53,-1.7810792638076848E-4,3.172243343965724E-8
ITERATION 54,-1.7810792638076848E-4,3.172243343965724E-8
ITERATION 55,-5.8298705144621055E-5,3.3987390215394654E-9
ITERATION 56,-5.8298705144621055E-5,3.3987390215394654E-9
ITERATION 57,-5.8298705144621055E-5,3.3987390215394654E-9
ITERATION 58,-5.8298705144621055E-5,3.3987390215394654E-9
ITERATION 59,5.719118835687426E-5,3.2708320256714703E-9
ITERATION 60,5.719118835687426E-5,3.2708320256714703E-9
ITERATION 61,5.719118835687426E-5,3.2708320256714703E-9
ITERATION 62,5.719118835687426E-5,3.2708320256714703E-9
ITERATION 63,4.4229956627574234E-5,1.9562890632770977E-9
ITERATION 64,-2.8778962200580525E-5,8.282286653424426E-10
ITERATION 65,-2.8778962200580525E-5,8.282286653424426E-10
ITERATION 66,-2.3412597353159856E-5,5.481497148211878E-10
ITERATION 67,-1.3017247842385294E-6,1.694487413900846E-12
ITERATION 68,-1.3017247842385294E-6,1.694487413900846E-12
ITERATION 69,-1.3017247842385294E-6,1.694487413900846E-12
ITERATION 70,-1.3017247842385294E-6,1.694487413900846E-12
ITERATION 71,8.71408235377527E-7,7.593523126837755E-13
ITERATION 72,8.71408235377527E-7,7.593523126837755E-13
ITERATION 73,8.71408235377527E-7,7.593523126837755E-13
ITERATION 74,8.71408235377527E-7,7.593523126837755E-13
ITERATION 75,8.71408235377527E-7,7.593523126837755E-13
ITERATION 76,-6.749457995326464E-7,4.555518323067633E-13
ITERATION 77,-3.703211988882001E-8,1.3713779034599388E-15
ITERATION 78,-3.703211988882001E-8,1.3713779034599388E-15
ITERATION 79,-3.703211988882001E-8,1.3713779034599388E-15
ITERATION 80,-3.703211988882001E-8,1.3713779034599388E-15
ITERATION 81,-3.703211988882001E-8,1.3713779034599388E-15
ITERATION 82,-3.703211988882001E-8,1.3713779034599388E-15
ITERATION 83,3.4573295443436E-8,1.1953127578191126E-15
ITERATION 84,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 85,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 86,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 87,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 88,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 89,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 90,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 91,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 92,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 93,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 94,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 95,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 96,1.8006333102289816E-8,3.2422803179061797E-16
ITERATION 97,1.1721260758916698E-8,1.3738795377852045E-16
ITERATION 98,1.1721260758916698E-8,1.3738795377852045E-16
ITERATION 99,-3.792816423192792E-9,1.438545642004096E-17
