ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,0.05402671945985635,0.0029188864155940204
ITERATION 1,0.05402671945985635,0.0029188864155940204
ITERATION 2,-0.009694080583939613,9.397519836791498E-5
ITERATION 3,0.00571806188254767,3.269623169264461E-5
ITERATION 4,0.00571806188254767,3.269623169264461E-5
ITERATION 5,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 6,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 7,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 8,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 9,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 10,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 11,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 12,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 13,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 14,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 15,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 16,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 17,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 18,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 19,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 20,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 21,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 22,1.0603613676541529E-4,1.1243662300133856E-8
ITERATION 23,6.169271419062235E-5,3.805990984205817E-9
ITERATION 24,6.169271419062235E-5,3.805990984205817E-9
ITERATION 25,6.169271419062235E-5,3.805990984205817E-9
ITERATION 26,6.169271419062235E-5,3.805990984205817E-9
ITERATION 27,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 28,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 29,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 30,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 31,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 32,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 33,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 34,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 35,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 36,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 37,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 38,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 39,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 40,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 41,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 42,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 43,-5.495625588286361E-5,3.0201900606627813E-9
ITERATION 44,-9.997235577209032E-6,9.9944719186214E-11
ITERATION 45,-9.997235577209032E-6,9.9944719186214E-11
ITERATION 46,-9.997235577209032E-6,9.9944719186214E-11
ITERATION 47,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 48,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 49,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 50,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 51,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 52,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 53,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 54,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 55,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 56,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 57,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 58,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 59,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 60,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 61,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 62,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 63,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 64,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 65,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 66,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 67,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 68,2.434492974221175E-6,5.9267560415322626E-12
ITERATION 69,2.422148205051501E-6,5.866801927234207E-12
ITERATION 70,-2.2386123369994666E-6,5.011385195366213E-12
ITERATION 71,2.0960484177090933E-6,4.393418969380794E-12
ITERATION 72,2.0960484177090933E-6,4.393418969380794E-12
ITERATION 73,2.0960484177090933E-6,4.393418969380794E-12
ITERATION 74,1.2100089024870073E-6,1.4641215440978118E-12
ITERATION 75,-7.663792672574644E-7,5.873371812820881E-13
ITERATION 76,-7.663792672574644E-7,5.873371812820881E-13
ITERATION 77,-7.663792672574644E-7,5.873371812820881E-13
ITERATION 78,-7.663792672574644E-7,5.873371812820881E-13
ITERATION 79,-7.663792672574644E-7,5.873371812820881E-13
ITERATION 80,-7.663792672574644E-7,5.873371812820881E-13
ITERATION 81,-3.868828021511536E-7,1.4967830260032867E-13
ITERATION 82,-3.868828021511536E-7,1.4967830260032867E-13
ITERATION 83,-3.868828021511536E-7,1.4967830260032867E-13
ITERATION 84,-3.868828021511536E-7,1.4967830260032867E-13
ITERATION 85,-3.868828021511536E-7,1.4967830260032867E-13
ITERATION 86,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 87,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 88,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 89,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 90,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 91,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 92,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 93,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 94,3.316171590508817E-7,1.0996994017697778E-13
ITERATION 95,2.215116840103528E-7,4.906742615310239E-14
ITERATION 96,2.215116840103528E-7,4.906742615310239E-14
ITERATION 97,-1.8279486945721578E-7,3.3413964299880556E-14
ITERATION 98,3.862993937745335E-8,1.492272216305721E-15
ITERATION 99,3.862993937745335E-8,1.492272216305721E-15
