ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,-0.008569116803503363,7.342976279208369E-5
ITERATION 1,-0.008569116803503363,7.342976279208369E-5
ITERATION 2,-0.008569116803503363,7.342976279208369E-5
ITERATION 3,-0.003586484091643638,1.2862868139612891E-5
ITERATION 4,-0.003586484091643638,1.2862868139612891E-5
ITERATION 5,5.357953217926476E-4,2.870766268548868E-7
ITERATION 6,5.357953217926476E-4,2.870766268548868E-7
ITERATION 7,5.357953217926476E-4,2.870766268548868E-7
ITERATION 8,5.357953217926476E-4,2.870766268548868E-7
ITERATION 9,5.357953217926476E-4,2.870766268548868E-7
ITERATION 10,5.357953217926476E-4,2.870766268548868E-7
ITERATION 11,5.357953217926476E-4,2.870766268548868E-7
ITERATION 12,5.357953217926476E-4,2.870766268548868E-7
ITERATION 13,5.357953217926476E-4,2.870766268548868E-7
ITERATION 14,5.357953217926476E-4,2.870766268548868E-7
ITERATION 15,5.357953217926476E-4,2.870766268548868E-7
ITERATION 16,5.357953217926476E-4,2.870766268548868E-7
ITERATION 17,5.357953217926476E-4,2.870766268548868E-7
ITERATION 18,5.357953217926476E-4,2.870766268548868E-7
ITERATION 19,5.357953217926476E-4,2.870766268548868E-7
ITERATION 20,5.357953217926476E-4,2.870766268548868E-7
ITERATION 21,5.357953217926476E-4,2.870766268548868E-7
ITERATION 22,5.357953217926476E-4,2.870766268548868E-7
ITERATION 23,5.357953217926476E-4,2.870766268548868E-7
ITERATION 24,5.357953217926476E-4,2.870766268548868E-7
ITERATION 25,5.357953217926476E-4,2.870766268548868E-7
ITERATION 26,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 27,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 28,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 29,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 30,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 31,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 32,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 33,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 34,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 35,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 36,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 37,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 38,2.4184380272387028E-4,5.8488424915942284E-8
ITERATION 39,2.2640562442881318E-5,5.125950677300081E-10
ITERATION 40,2.2640562442881318E-5,5.125950677300081E-10
ITERATION 41,2.2640562442881318E-5,5.125950677300081E-10
ITERATION 42,2.2640562442881318E-5,5.125950677300081E-10
ITERATION 43,2.2640562442881318E-5,5.125950677300081E-10
ITERATION 44,-2.206779457325072E-6,4.869875573271939E-12
ITERATION 45,-2.206779457325072E-6,4.869875573271939E-12
ITERATION 46,-2.206779457325072E-6,4.869875573271939E-12
ITERATION 47,-1.444987418021969E-6,2.0879886382417967E-12
ITERATION 48,-1.444987418021969E-6,2.0879886382417967E-12
ITERATION 49,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 50,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 51,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 52,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 53,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 54,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 55,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 56,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 57,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 58,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 59,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 60,-1.4006819278323922E-6,1.961909862956267E-12
ITERATION 61,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 62,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 63,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 64,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 65,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 66,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 67,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 68,2.5366487977688165E-7,6.434587123221983E-14
ITERATION 69,7.277255413811808E-8,5.2958446357853265E-15
ITERATION 70,7.277255413811808E-8,5.2958446357853265E-15
ITERATION 71,7.277255413811808E-8,5.2958446357853265E-15
ITERATION 72,7.277255413811808E-8,5.2958446357853265E-15
ITERATION 73,7.277255413811808E-8,5.2958446357853265E-15
ITERATION 74,7.277255413811808E-8,5.2958446357853265E-15
ITERATION 75,6.756094878985555E-8,4.564481801385484E-15
ITERATION 76,1.9104244133047437E-8,3.6497214389507744E-16
ITERATION 77,-3.2450525233631924E-9,1.0530365879385823E-17
ITERATION 78,-3.2450525233631924E-9,1.0530365879385823E-17
ITERATION 79,-3.2450525233631924E-9,1.0530365879385823E-17
ITERATION 80,-3.2450525233631924E-9,1.0530365879385823E-17
ITERATION 81,-3.2450525233631924E-9,1.0530365879385823E-17
ITERATION 82,-3.2450525233631924E-9,1.0530365879385823E-17
ITERATION 83,-3.2450525233631924E-9,1.0530365879385823E-17
ITERATION 84,1.9011069853905024E-9,3.614207769900564E-18
ITERATION 85,-1.6692506303242828E-9,2.7863976668380157E-18
ITERATION 86,-1.6692506303242828E-9,2.7863976668380157E-18
ITERATION 87,7.209933874942466E-10,5.198314648104288E-19
ITERATION 88,7.209933874942466E-10,5.198314648104288E-19
ITERATION 89,6.602508239498859E-11,4.359311505265032E-21
ITERATION 90,6.602508239498859E-11,4.359311505265032E-21
ITERATION 91,6.602508239498859E-11,4.359311505265032E-21
ITERATION 92,6.602508239498859E-11,4.359311505265032E-21
ITERATION 93,6.602508239498859E-11,4.359311505265032E-21
ITERATION 94,6.602508239498859E-11,4.359311505265032E-21
ITERATION 95,6.602508239498859E-11,4.359311505265032E-21
ITERATION 96,6.602508239498859E-11,4.359311505265032E-21
ITERATION 97,6.602508239498859E-11,4.359311505265032E-21
ITERATION 98,6.602508239498859E-11,4.359311505265032E-21
ITERATION 99,6.602508239498859E-11,4.359311505265032E-21
