ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,0.03311988948993716,0.00109692707982565
ITERATION 1,0.03311988948993716,0.00109692707982565
ITERATION 2,0.03311988948993716,0.00109692707982565
ITERATION 3,0.02963648500068862,8.783212431960416E-4
ITERATION 4,0.02963648500068862,8.783212431960416E-4
ITERATION 5,0.02963648500068862,8.783212431960416E-4
ITERATION 6,0.02963648500068862,8.783212431960416E-4
ITERATION 7,-0.0025987094912498787,6.753291019912204E-6
ITERATION 8,-0.0025987094912498787,6.753291019912204E-6
ITERATION 9,-0.0025987094912498787,6.753291019912204E-6
ITERATION 10,-0.0025987094912498787,6.753291019912204E-6
ITERATION 11,-0.0025987094912498787,6.753291019912204E-6
ITERATION 12,-0.0025987094912498787,6.753291019912204E-6
ITERATION 13,-0.0025987094912498787,6.753291019912204E-6
ITERATION 14,-0.0025987094912498787,6.753291019912204E-6
ITERATION 15,-0.0025987094912498787,6.753291019912204E-6
ITERATION 16,-0.0025987094912498787,6.753291019912204E-6
ITERATION 17,-0.0025987094912498787,6.753291019912204E-6
ITERATION 18,-0.0025987094912498787,6.753291019912204E-6
ITERATION 19,-0.0025987094912498787,6.753291019912204E-6
ITERATION 20,-0.0025987094912498787,6.753291019912204E-6
ITERATION 21,-0.0025987094912498787,6.753291019912204E-6
ITERATION 22,-0.0025987094912498787,6.753291019912204E-6
ITERATION 23,-0.0025987094912498787,6.753291019912204E-6
ITERATION 24,-0.0025987094912498787,6.753291019912204E-6
ITERATION 25,-0.0025987094912498787,6.753291019912204E-6
ITERATION 26,-0.0025987094912498787,6.753291019912204E-6
ITERATION 27,-0.0025987094912498787,6.753291019912204E-6
ITERATION 28,-0.0025987094912498787,6.753291019912204E-6
ITERATION 29,-0.0025987094912498787,6.753291019912204E-6
ITERATION 30,-0.0025987094912498787,6.753291019912204E-6
ITERATION 31,-0.0025987094912498787,6.753291019912204E-6
ITERATION 32,-0.0025987094912498787,6.753291019912204E-6
ITERATION 33,-0.0025987094912498787,6.753291019912204E-6
ITERATION 34,-0.0025987094912498787,6.753291019912204E-6
ITERATION 35,-0.0025987094912498787,6.753291019912204E-6
ITERATION 36,-0.0018952628645582115,3.5920213257733972E-6
ITERATION 37,-0.0018952628645582115,3.5920213257733972E-6
ITERATION 38,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 39,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 40,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 41,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 42,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 43,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 44,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 45,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 46,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 47,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 48,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 49,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 50,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 51,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 52,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 53,-0.0014857721436269192,2.2075188627777305E-6
ITERATION 54,2.34385654172135E-4,5.493663488169967E-8
ITERATION 55,2.34385654172135E-4,5.493663488169967E-8
ITERATION 56,2.34385654172135E-4,5.493663488169967E-8
ITERATION 57,2.34385654172135E-4,5.493663488169967E-8
ITERATION 58,2.34385654172135E-4,5.493663488169967E-8
ITERATION 59,2.34385654172135E-4,5.493663488169967E-8
ITERATION 60,2.34385654172135E-4,5.493663488169967E-8
ITERATION 61,2.34385654172135E-4,5.493663488169967E-8
ITERATION 62,2.34385654172135E-4,5.493663488169967E-8
ITERATION 63,2.34385654172135E-4,5.493663488169967E-8
ITERATION 64,2.34385654172135E-4,5.493663488169967E-8
ITERATION 65,-1.1947124737093418E-4,1.4273378948366948E-8
ITERATION 66,9.905210161744761E-5,9.811318834833168E-9
ITERATION 67,6.424985717895076E-5,4.12804414751557E-9
ITERATION 68,6.424985717895076E-5,4.12804414751557E-9
ITERATION 69,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 70,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 71,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 72,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 73,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 74,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 75,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 76,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 77,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 78,-1.2233585489841887E-6,1.4966061393726998E-12
ITERATION 79,-1.0102073560953464E-6,1.02051890230915E-12
ITERATION 80,-1.0102073560953464E-6,1.02051890230915E-12
ITERATION 81,-1.0102073560953464E-6,1.02051890230915E-12
ITERATION 82,-1.0102073560953464E-6,1.02051890230915E-12
ITERATION 83,6.471982156763945E-7,4.188655303747088E-13
ITERATION 84,3.4773033382592705E-7,1.2091638506269065E-13
ITERATION 85,2.2027976103824758E-7,4.852317312306746E-14
ITERATION 86,1.66580473089571E-7,2.774905401474529E-14
ITERATION 87,1.4418137884863165E-7,2.0788270006692647E-14
ITERATION 88,1.3493168024813876E-7,1.820655833458596E-14
ITERATION 89,1.3115021685292925E-7,1.7200379380570365E-14
ITERATION 90,1.2961973771337522E-7,1.6801276404884184E-14
ITERATION 91,1.2900649821049345E-7,1.664267658053405E-14
ITERATION 92,1.2876323970967898E-7,1.657997190053225E-14
ITERATION 93,1.2866770941366733E-7,1.6555379445759937E-14
ITERATION 94,1.2863056877088914E-7,1.654582322232244E-14
ITERATION 95,1.2861627348311623E-7,1.6542145804683748E-14
