ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,0.020836475042618874,4.341586922016792E-4
ITERATION 1,-0.011038867839172184,1.2185660317070996E-4
ITERATION 2,-0.011038867839172184,1.2185660317070996E-4
ITERATION 3,-0.011038867839172184,1.2185660317070996E-4
ITERATION 4,-0.011038867839172184,1.2185660317070996E-4
ITERATION 5,-0.00426675083988215,1.820516272963503E-5
ITERATION 6,-0.00426675083988215,1.820516272963503E-5
ITERATION 7,-0.00426675083988215,1.820516272963503E-5
ITERATION 8,-0.00426675083988215,1.820516272963503E-5
ITERATION 9,-0.00426675083988215,1.820516272963503E-5
ITERATION 10,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 11,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 12,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 13,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 14,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 15,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 16,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 17,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 18,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 19,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 20,-4.937721520323901E-4,2.438109381226978E-7
ITERATION 21,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 22,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 23,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 24,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 25,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 26,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 27,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 28,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 29,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 30,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 31,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 32,-2.743023570251687E-4,7.524178306956311E-8
ITERATION 33,1.523415082277423E-4,2.320793512910327E-8
ITERATION 34,1.523415082277423E-4,2.320793512910327E-8
ITERATION 35,1.523415082277423E-4,2.320793512910327E-8
ITERATION 36,-1.4077487993169574E-4,1.981756681978335E-8
ITERATION 37,-1.4077487993169574E-4,1.981756681978335E-8
ITERATION 38,-1.4077487993169574E-4,1.981756681978335E-8
ITERATION 39,-1.0055061800272064E-4,1.0110426780729049E-8
ITERATION 40,-3.9881492505828295E-5,1.5905334444924385E-9
ITERATION 41,-3.9881492505828295E-5,1.5905334444924385E-9
ITERATION 42,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 43,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 44,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 45,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 46,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 47,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 48,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 49,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 50,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 51,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 52,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 53,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 54,-9.976608640883435E-6,9.953271997335001E-11
ITERATION 55,-4.410145566188491E-6,1.9449383914972006E-11
ITERATION 56,-4.410145566188491E-6,1.9449383914972006E-11
ITERATION 57,-4.410145566188491E-6,1.9449383914972006E-11
ITERATION 58,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 59,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 60,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 61,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 62,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 63,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 64,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 65,5.370244343235916E-7,2.8839524306057353E-13
ITERATION 66,5.370244343235916E-7,2.8839524306057353E-13
