ITERATION,Global Best Position,Global Best Fitness
ITERATION 0,0.08004193310451546,0.006406711055107728
ITERATION 1,0.04311869883857522,0.001859222189531748
ITERATION 2,0.01771899641324648,3.139628338926416E-4
ITERATION 3,0.01771899641324648,3.139628338926416E-4
ITERATION 4,0.01771899641324648,3.139628338926416E-4
ITERATION 5,0.01771899641324648,3.139628338926416E-4
ITERATION 6,0.01771899641324648,3.139628338926416E-4
ITERATION 7,0.01771899641324648,3.139628338926416E-4
ITERATION 8,0.01771899641324648,3.139628338926416E-4
ITERATION 9,0.01771899641324648,3.139628338926416E-4
ITERATION 10,0.01771899641324648,3.139628338926416E-4
ITERATION 11,0.01771899641324648,3.139628338926416E-4
ITERATION 12,0.01771899641324648,3.139628338926416E-4
ITERATION 13,0.01771899641324648,3.139628338926416E-4
ITERATION 14,0.01771899641324648,3.139628338926416E-4
ITERATION 15,0.01771899641324648,3.139628338926416E-4
ITERATION 16,-0.014772660407914029,2.1823149552755068E-4
ITERATION 17,-0.014772660407914029,2.1823149552755068E-4
ITERATION 18,-0.014772660407914029,2.1823149552755068E-4
ITERATION 19,-0.014772660407914029,2.1823149552755068E-4
ITERATION 20,-0.014772660407914029,2.1823149552755068E-4
ITERATION 21,-0.007417137395991091,5.501392715100951E-5
ITERATION 22,-0.007417137395991091,5.501392715100951E-5
ITERATION 23,-0.007417137395991091,5.501392715100951E-5
ITERATION 24,-0.003760270929785925,1.4139637465393104E-5
ITERATION 25,-0.003760270929785925,1.4139637465393104E-5
ITERATION 26,-0.0035540221774814362,1.263107363802989E-5
ITERATION 27,-0.0035540221774814362,1.263107363802989E-5
ITERATION 28,-0.0035540221774814362,1.263107363802989E-5
ITERATION 29,-0.0035540221774814362,1.263107363802989E-5
ITERATION 30,-0.0035540221774814362,1.263107363802989E-5
ITERATION 31,-3.3653656991994296E-4,1.1325686289348066E-7
ITERATION 32,-3.3653656991994296E-4,1.1325686289348066E-7
ITERATION 33,-3.3653656991994296E-4,1.1325686289348066E-7
ITERATION 34,-3.3653656991994296E-4,1.1325686289348066E-7
ITERATION 35,-3.3653656991994296E-4,1.1325686289348066E-7
